true_labels,pred,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223
1,1,0.0,0.0,0.0,0.0,15924.829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4322.0933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4671.7236,0.0,0.0,0.0,0.0,908.58374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,731.4717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14387.318,0.0,0.0,0.0,0.0,0.0,0.0,4600.179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6557.972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.7539,0.0,0.0,0.0,542.5347,0.0,0.0,0.0,0.0,0.0,357.52194,0.0,0.0,0.0,0.0,9561.106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11975.881,5227.0103,0.0,0.0,0.0,0.0,0.0,0.0,512.3888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7438.731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2473.9475,0.0,0.0,0.0,0.0,3382.181,17204.982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3014.4385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7284.716,0.0,0.0,22.533543,15924.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6126.9014,0.0,0.0,0.0,0.0,0.0,11988.622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,0.0,0.0,0.0,0.0,1552.9576,0.0,11871.181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9632.365,0.0,0.0,0.0,0.0,0.0,0.0,11852.807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.34084,0.0,1818.6593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3791.9773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10550.375,25081.947,29715.441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3525.2852,0.0,0.0,0.0,0.0,0.0,14234.604,0.0,19899.97,0.0,0.0,18895.736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.20413,13983.728,4986.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24516.885,0.0,0.0,0.0,0.0,0.0,3198.3545,0.0,0.0,0.0,0.0,2700.0117,0.0,0.0,8454.227,0.0,0.0,0.0,0.0,0.0,363.90445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6301.959,13416.306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8471.731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3330.3171,0.0,0.0
1,1,0.0,0.0,0.0,0.0,1798.8088,0.0,0.0,0.0,595.56616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10952.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11429.792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3253.1965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5517.437,0.0,0.0,0.0,0.0,24465.768,0.0,12974.633,0.0,548.8596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,674.31445,0.0,0.0,0.0,0.0,184.6269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10157.467,0.0,1947.5713,0.0,0.0,0.0,0.0,2325.9426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2479.7239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7365.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1671.053,0.0,2055.3704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7233.2783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,628.66534,0.0,826.8953,0.0,7024.549,0.0,0.0,12451.486,0.0,0.0,0.0,0.0,0.0,7158.646,0.0,0.0,0.0,0.0,0.0,484.67126,0.0,0.0,356.4248,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0.0,0.0,0.0,0.0,0.0,0.0,3145.391,2010.371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416.73425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3816.7708,0.0,0.0,0.0,0.0,0.0,571.1912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6304.227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4230.8027,0.0,0.0,0.0,0.0,0.0,1261.0546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2204.1882,11508.793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4246.1655,0.0,6294.078,0.0,0.0,0.0,0.0,0.0,7901.707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3905.6814,3768.084,0.0,3468.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2031.553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.614,0.0,0.0,5847.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.57742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3090.7498,0.0,0.0
3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1208.5786,950.9563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.91704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.6273,0.0,0.0,1441.4153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2759.2627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.29083,0.0,0.0,0.0,0.0,1017.2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.896158,0.0,0.0,0.0,0.0,0.0,1715.6058,0.0,1868.9952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.73781,0.0,0.0,0.0,0.0,0.0,51.302494,0.0,0.0,0.0,0.0,594.0745,0.0,0.0,0.0,0.0,1977.4474,482.85953,0.0,0.0,0.0,0.0,1057.1655,0.0,1014.1023,0.0,0.0,2755.5469,0.0,0.0,2510.2568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1286.3958,0.0,0.0,0.0,758.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,781.6379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.49043,0.0,207.30081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,679.5738,0.0,0.0,0.0,0.0,0.0,0.0,1107.9431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.0,0.0,0.0,0.0,0.0,0.0,1334.6155,0.0,0.0,713.25275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,991.8553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.35272,0.0,397.53622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2305.1636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1049.7589,0.0,0.0,0.0,0.0,0.0,0.0,1234.1465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2072.7893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488.20404,0.0,0.0,3064.927,0.0,176.96323,0.0,0.0,0.0,0.0,0.0,2482.192,0.0,7619.0884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16141.372,0.0,2354.9744,0.0,0.0,0.0,0.0,0.0,371.1493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,889.20184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3997.6252,0.0,0.0,0.0,119.751625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8130.1094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3501.907,0.0,0.0,0.0,2226.1084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.02023,0.0,0.0,0.0,0.0,0.0,3695.5618,0.0,0.0,0.0,3372.2847,0.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,0.0,7667.55,0.0,0.0,17504.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13646.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27599.842,0.0,0.0,0.0,0.0,2224.4844,0.0,0.0,0.0,0.0,5059.99,0.0,0.0,14809.984,11389.067,0.0,0.0,0.0,421.9117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8143.0117,0.0,0.0,10158.826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23751.883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21489.557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3475.7764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16107.635,0.0,25531.234,0.0,0.0,2531.9026,0.0,0.0,1071.1553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6404.7627,0.0,0.0,0.0,9200.457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27944.025,0.0,0.0,0.0,0.0,8596.481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473.57864,5845.202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6465.4536,0.0,0.0,0.0,0.0,0.0,5608.697,0.0,0.0,1080.3751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,0.0,0.0,0.0,0.0,13345.561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19657.906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52376.44,0.0,0.0,22281.65,22812.934,16914.504,0.0,0.0,16239.767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1050.2695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4157.578,0.0,0.0,0.0,0.0,17399.191,0.0,0.0,0.0,5498.3228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44007.383,0.0,37007.105,0.0,77656.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23442.875,1354.0667,0.0,48764.133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4952.1055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3604.3662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3144.6638,0.0,0.0,0.0,0.0,0.0,48266.7,0.0,0.0,0.0,13510.758,14860.406,0.0,73771.24,0.0,0.0,0.0,0.0,0.0,8043.8096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,3676.5334,0.0,0.0,0.0,0.0,0.0,0.0,9349.657,0.0,0.0,0.0,0.0,0.0,623.733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5635.192,0.0,0.0,540.7872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10242.391,0.0,0.0,0.0,123.721176,0.0,0.0,0.0,0.0,0.0,9461.302,0.0,0.0,7180.5327,2312.626,0.0,0.0,0.0,4169.388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2352.8613,0.0,0.0,1670.029,0.0,0.0,2005.1493,3803.79,0.0,12409.701,0.0,0.0,0.0,3133.6633,0.0,5686.551,0.0,0.0,4803.672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4723.1313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10417.915,0.0,0.0,11146.902,0.0,0.0,8025.4688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8024.694,0.0,0.0,0.0,659.2199,0.0,0.0,1000.6603,0.0,0.0,0.0,0.0,638.58575,0.0,0.0,3073.5144,0.0,0.0,0.0,0.0,0.0,0.0,6573.6045,3080.2512,0.0,0.0,0.0,0.0,0.0,0.0,5133.9307,0.0,0.0,0.0,0.0,827.6616,0.0,4943.0938,0.0,0.0,0.0,10688.081,0.0,0.0,0.0,0.0,1809.2734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7074.364,3.760597,0.0,0.0,1225.7212,0.0,0.0,0.0,0.0,0.0,901.88934,1152.0004,0.0,0.0,0.0,0.0,7310.5024,0.0,0.0,889.61835,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.46887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2407.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3823.272,0.0,867.1356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4146.988,0.0,0.0,0.0,708.9497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1458.4409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2469.8757,0.0,0.0,0.0,0.0,0.0,0.0,234.06035,0.0,3595.1414,0.0,2917.9165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1116.1326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1457.9745,0.0,0.0,0.0,0.0,1642.9945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5863.955,0.0,0.0,641.43475,0.0,0.0,165.66394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1332.7006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3470.8186,0.0,0.0,0.0,0.0,0.0,0.0,4771.3823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1355.6772,0.0,0.0,0.0,39.087357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,921.0496,0.0,0.0
