FoF,Cell_id,true_labels,pred,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
FoF3_240918_fluorescent.nucleus,cell183,0,1,0.018508255,-0.054718472,0.021973362,0.0395015,0.032544203,-0.016240224,0.06700078,-0.10694725,-0.0005001889,-0.049290437,-0.030287351,0.052221514,-0.09868935,-0.13511984,-0.13681446,-0.03858758,-0.062286638,-0.103434764,-0.032796875,0.122428656,-0.07080158,-0.0319853,-0.0038041286,-0.04345539,-0.01540877,0.025937,0.028129235,-0.09695494,0.03963621,-0.03129842,-0.057121024,-0.11973247
FoF3_240918_fluorescent.nucleus,cell6,3,3,0.08866222,-0.022007372,-0.043412242,-0.34922776,0.6980306,0.066409916,0.13310415,-0.028660499,0.072768174,-0.86000526,-0.03246983,-0.5828607,0.015352674,-0.022606798,0.062112454,-0.028052773,-0.061686657,0.3808554,-0.032202426,-0.2258927,-0.079933,0.014931705,0.024413822,-0.07563926,-0.043275125,0.00032375567,0.13845617,-0.16422862,1.0631305,-0.27265728,-0.044697315,-0.13666336
FoF3_231005_fluorescent.nucleus,cell55,2,2,0.09731053,-0.030772937,-0.0199599,0.73330534,-0.7911231,-0.03477978,0.13719454,-0.13083895,-0.0050948444,0.4811225,-0.0860081,0.64129174,0.25348768,-0.20740682,-0.20663652,0.13137473,-0.11115569,-0.7764642,0.13294938,0.14149274,0.018565115,-0.53973293,-0.022446427,0.12586266,0.12517804,0.2243345,-0.06514697,-0.1597473,-0.5367019,0.14255004,0.10412994,-0.05602678
FoF3_231005_fluorescent.nucleus,cell48,3,0,-0.15210569,-0.10183743,-0.02044988,-0.106122345,-0.14476177,-0.13949525,-0.066970274,-0.059646666,-0.11148965,-0.25779828,-0.03011991,-0.20260859,-0.10853751,0.143044,0.002357334,-0.059486922,-0.04434771,-0.27408475,-0.05388677,-0.2631086,-0.03352111,0.06237811,0.0086134,-0.0122307185,-0.0048349393,-0.18155846,-0.09086176,-0.08682105,0.25046054,0.16118646,-0.043869168,0.04652141
FoF3_240918_fluorescent.nucleus,cell38,1,3,-0.019126723,-0.085354574,-0.07395823,-0.16945207,0.24795398,-0.036233246,0.04623694,-0.0817277,-0.015893321,-0.41905063,-0.033616565,-0.29119307,-0.14129542,-0.06286975,-0.12473767,-0.035181724,-0.07711105,0.02985545,-0.038559146,-0.03668036,-0.06798197,0.04863523,0.015640208,-0.052743744,-0.049928237,-0.09582681,0.008557485,-0.19114874,0.61201966,-0.035140947,-0.067413665,-0.13152649
FoF1_231005_fluorescent.nucleus,cell10,3,3,-0.05247206,-0.04080528,-0.06722793,-0.42314094,0.5300253,-0.027301678,-0.008161845,-0.07374931,-0.040455583,-0.74955785,-0.051928505,-0.48208597,-0.0010662749,0.030253768,-0.041051105,0.05683798,-0.10269645,0.21694463,0.059237916,-0.1165338,-0.0039134915,0.12656572,-0.05284659,0.06435926,0.10317722,-0.1847749,0.10344079,-0.13203204,0.9074954,-0.039961938,0.024480287,-0.16513851
FoF2_231005_fluorescent.nucleus,cell18,1,1,-0.033462353,-0.018814307,0.13324445,0.15403748,0.44016144,-0.0103382245,-0.0029799612,-0.12777464,-0.061614677,-0.40061432,-0.09259118,0.024752429,0.27484846,-0.3802919,-0.16482566,0.08273644,-0.07775067,0.30708343,0.05394178,0.33474004,-0.03503909,-0.38746527,-0.2166172,0.03468564,0.058019444,0.32396048,0.018745476,0.05973732,0.055419147,-0.39284724,0.009188307,-0.25781274
FoF1_240918_fluorescent.nucleus,cell36,3,3,-0.06608775,0.039938614,-0.056583058,-0.5468936,0.3130363,0.021423165,0.2745533,0.0036899596,0.3175798,0.49837217,0.13443711,0.91841924,-2.2148051,0.12381132,-1.2091157,-0.27551943,0.031552345,-1.5107839,-0.198377,0.989321,0.06232443,2.2388384,0.5418534,-0.27085444,-0.12110098,-0.8536402,0.6042033,-0.07256717,1.7221893,1.8767483,-0.2775508,-0.15981413
FoF2_231005_fluorescent.nucleus,cell131,3,3,-0.052290503,-0.14748111,-0.122507624,-0.22123921,0.46836904,-0.10243022,0.0038086716,-0.1266154,-0.091472015,-0.12597796,-0.027922532,0.09674675,-0.48970106,-0.27211487,-0.40953654,-0.044739436,-0.10681639,0.032622226,-0.043509614,0.39801437,-0.05054889,0.26979268,-0.04489451,-0.04656038,-0.00033653062,-0.07671296,0.091551006,-0.080698624,0.2934676,-0.031228779,-0.042185552,-0.27691135
FoF3_240918_fluorescent.nucleus,cell105,3,0,-0.053031053,-0.059857745,-0.06306824,-0.12717822,-0.1782746,-0.074750006,-0.05651751,-0.060141902,-0.055437803,0.0031588431,-0.0139894895,-0.038868457,-0.079297274,0.14123872,0.033449516,-0.08997843,-0.0551439,-0.2626881,-0.095287725,-0.22797313,-0.076644674,0.05786752,0.045098774,-0.07180346,-0.058185913,-0.2307334,-0.037492096,-0.109210745,-0.022512298,0.12530194,-0.07358487,0.03209233
