image,image_id,label
FoF3_241016_fucci.nucleus/cellCycle2/images_padded/FoF_slice20_cellCycle2_cell180.tif,FoF3_241016_fucci.nucleus_cell180.tif,1
FoF3_241016_fucci.nucleus/cellCycle4/images_padded/FoF_slice25_cellCycle4_cell27.tif,FoF3_241016_fucci.nucleus_cell27.tif,3
FoF18_241017_fucci.nucleus/cellCycle1/images_padded/FoF_slice24_cellCycle1_cell210.tif,FoF18_241017_fucci.nucleus_cell210.tif,0
FoF10_241016_fucci.nucleus/cellCycle1/images_padded/FoF_slice14_cellCycle1_cell127.tif,FoF10_241016_fucci.nucleus_cell127.tif,0
FoF3_241016_fucci.nucleus/cellCycle1/images_padded/FoF_slice28_cellCycle1_cell24.tif,FoF3_241016_fucci.nucleus_cell24.tif,0
FoF22_241017_fucci.nucleus/cellCycle4/images_padded/FoF_slice24_cellCycle4_cell364.tif,FoF22_241017_fucci.nucleus_cell364.tif,3
FoF3_241016_fucci.nucleus/cellCycle4/images_padded/FoF_slice26_cellCycle4_cell34.tif,FoF3_241016_fucci.nucleus_cell34.tif,3
FoF18_241017_fucci.nucleus/cellCycle4/images_padded/FoF_slice24_cellCycle4_cell4.tif,FoF18_241017_fucci.nucleus_cell4.tif,3
FoF6_241016_fucci.nucleus/cellCycle1/images_padded/FoF_slice32_cellCycle1_cell34.tif,FoF6_241016_fucci.nucleus_cell34.tif,0
FoF15_241017_fucci.nucleus/cellCycle4/images_padded/FoF_slice29_cellCycle4_cell7.tif,FoF15_241017_fucci.nucleus_cell7.tif,3
FoF3_241016_fucci.nucleus/cellCycle4/images_padded/FoF_slice22_cellCycle4_cell26.tif,FoF3_241016_fucci.nucleus_cell26.tif,3
FoF15_241017_fucci.nucleus/cellCycle2/images_padded/FoF_slice24_cellCycle2_cell50.tif,FoF15_241017_fucci.nucleus_cell50.tif,1
FoF19_241017_fucci.nucleus/cellCycle2/images_padded/FoF_slice21_cellCycle2_cell132.tif,FoF19_241017_fucci.nucleus_cell132.tif,1
FoF14_241016_fucci.nucleus/cellCycle1/images_padded/FoF_slice26_cellCycle1_cell132.tif,FoF14_241016_fucci.nucleus_cell132.tif,0
FoF10_241016_fucci.nucleus/cellCycle2/images_padded/FoF_slice16_cellCycle2_cell123.tif,FoF10_241016_fucci.nucleus_cell123.tif,1
FoF9_241016_fucci.nucleus/cellCycle1/images_padded/FoF_slice19_cellCycle1_cell8.tif,FoF9_241016_fucci.nucleus_cell8.tif,0
FoF9_241016_fucci.nucleus/cellCycle1/images_padded/FoF_slice24_cellCycle1_cell22.tif,FoF9_241016_fucci.nucleus_cell22.tif,0
FoF22_241017_fucci.nucleus/cellCycle1/images_padded/FoF_slice25_cellCycle1_cell21.tif,FoF22_241017_fucci.nucleus_cell21.tif,0
FoF7_241016_fucci.nucleus/cellCycle4/images_padded/FoF_slice32_cellCycle4_cell93.tif,FoF7_241016_fucci.nucleus_cell93.tif,3
FoF19_241017_fucci.nucleus/cellCycle1/images_padded/FoF_slice26_cellCycle1_cell51.tif,FoF19_241017_fucci.nucleus_cell51.tif,0
FoF3_241016_fucci.nucleus/cellCycle4/images_padded/FoF_slice27_cellCycle4_cell34.tif,FoF3_241016_fucci.nucleus_cell34.tif,3
FoF23_241017_fucci.nucleus/cellCycle4/images_padded/FoF_slice28_cellCycle4_cell129.tif,FoF23_241017_fucci.nucleus_cell129.tif,3
FoF22_241017_fucci.nucleus/cellCycle4/images_padded/FoF_slice25_cellCycle4_cell134.tif,FoF22_241017_fucci.nucleus_cell134.tif,3
