true_labels,pred,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2195.7913,0.0,7972.5845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7155.1704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1358.5898,0.0,0.0,0.0,9435.921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2675.8218,8487.5625,0.0,0.0,6824.281,0.0,0.0,2433.294,0.0,0.0,4387.4805,889.6925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1127.9618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.75098,0.0,0.0,0.0,9210.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1622.3315,0.0,0.0,0.0,0.0,1171.7804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2486.3235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3180.378,0.0,0.0,0.0,0.0,0.0,1108.0974,0.0,0.0,0.0,0.0,0.0,500.23575,0.0,0.0,0.0,0.0,0.0,0.0,3097.7305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.30597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2714.91,0.0
3,1,44.626858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.40415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.91186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.96588,0.0,0.0,95.53731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.12379,0.0,0.0,0.0,0.0,41.400978,0.0,0.0,0.0,0.0,0.0,344.25095,33.792664,0.0,0.0,0.0,27.576118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.158398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.46671,0.0,0.0,0.0,0.0,169.45224,0.0,0.0,77.702736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.900726,0.0,240.67375,192.53082,144.5023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.73364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.44737,0.0,109.64763,0.0,0.0,272.29492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.60399,0.0,0.0,0.0,0.0,0.0,157.53954,0.0,0.0,162.51437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.26674,0.0,0.0,0.0,0.0,36.390053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.87381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.94827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.62366,0.0,13.259507,148.01257,0.0,0.0,193.49272,0.0,0.0,0.0,0.0,0.0,32.11887,0.0,210.7471,0.0
2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,614.20996,0.0,6431.387,0.0,0.0,0.0,0.0,0.0,861.5337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,677.10126,6395.932,0.0,0.0,2510.172,0.0,920.6169,0.0,0.0,0.0,0.0,2345.8071,0.0,0.0,7888.1157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2665.833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2638.659,981.1161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1640.963,0.0,0.0,0.0,0.0,0.0,0.0,2683.3374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455.89435,0.0,241.82814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3505.9885,1199.6329,1177.7914,0.0,0.0,3658.6833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.32062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2678.2405,10802.896,0.0,0.0,0.0,4810.5537,0.0,0.0,0.0,228.98523,0.0,0.0,0.0,0.0,0.0,0.0,1469.1327,0.0,0.0,0.0,768.5055,0.0,0.0,0.0,8303.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0405,0.0,0.0,0.0,3560.921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,855.0138,0.0,0.0,0.0,0.0,0.0,0.0,1356.7684,0.0,956.71924,0.0,8879.954,0.0,0.0,0.0,5244.382,0.0,2981.0063,0.0,0.0,0.0,1619.9662,0.0,0.0,1402.1162,0.0,0.0,0.0,0.0,0.0
3,3,5640.921,4354.478,883.8691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5673.2847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492.01077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4019.3584,0.0,0.0,0.0,0.0,617.28033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4894.905,167.19337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5406.471,1757.91,0.0,2083.987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1864.1188,729.46906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.99782,0.0,0.0,0.0,0.0,0.0,1240.1486,0.0,4381.878,0.0,0.0,0.0,5673.476,81.61833,0.0,0.0,2461.1123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.4226,0.0,569.88824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.86781,1272.6655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1984.838,0.0,0.0,1097.5616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,702.3134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1518.5056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,869.9909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6048.458,0.0,1126.6417,0.0
1,1,393.07455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,681.5811,0.0,0.0,208.1583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.17252,0.0,203.91559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.51906,0.0,0.0,0.0,0.0,0.0,0.0,1311.1582,0.0,0.0,0.0,0.0,0.0,15.069165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407.56766,0.0,0.0,0.0,61.712597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.51853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1199.4186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.41937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.50937,0.0,0.0,0.0,0.0,14.150641,0.0,0.0,467.16904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.68481,0.0,0.0,1129.1737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1152.8514,0.0,0.0,0.0,0.0,0.0,812.8737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401.55966,0.0,0.0,0.0,211.44882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.19359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1130.183,37.037075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.98434,0.0,0.0,0.0,0.0,0.0,0.0,902.2592,202.17749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1304.8202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.62537,0.0,0.0,1977.599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.71664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.81998,2468.152,0.0,0.0,1937.7091,0.0,0.0,0.0,0.0,579.1109,0.0,1949.4043,0.0,620.17993,0.0,0.0,0.0,0.0,0.0,392.742,0.0,0.0,0.0,892.5494,0.0,0.0,0.0,0.0,0.0,667.8945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1348.0217,0.0,0.0,1741.238,0.0,0.0,0.0,113.3073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.3217,0.0,0.0,98.37809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1443.9194,0.0,0.0,265.6279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.71368,0.0,0.0,0.0,0.0,0.0,448.5818,0.0,0.0,613.52924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,618.0643,0.0,0.0,1125.7826,0.0,67.74081,0.0,0.0,1102.2642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403.692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.6115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.93887,0.0
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339.11258,265.69354,1698.9181,0.0,0.0,0.0,0.0,0.0,1066.0527,0.0,0.0,0.0,0.0,57.28642,0.0,0.0,0.0,735.14996,0.0,0.0,0.0,0.0,296.55554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3178.795,0.0,0.0,0.0,674.9137,0.0,0.0,392.67136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1165.2338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3289.6404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,596.0163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.32874,0.0,0.0,0.0,0.0,3487.399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1285.5842,896.2194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,727.85126,50.601006,1038.6797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553.0226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.91745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581.84515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558.05444,0.0,0.0,0.0,0.0,0.0,773.63635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2564.2178
3,3,27.052168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.97552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462.8643,0.0,0.0,0.0,0.0,0.0,899.1718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.41833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66059,0.0,299.68588,0.0,0.0,992.6011,0.0,533.327,0.0,0.0,0.0,0.0,0.0,341.68344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3024042,0.0,931.39154,0.0,536.65533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.11263,0.0,739.6935,0.0,0.0,0.0,0.0,0.0,0.0,382.7036,0.0,0.0,304.2254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.477707,0.0,0.0,0.0,0.0,0.0,273.89752,0.0,0.0,0.0,0.0,247.91714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.864264,0.0,0.0,0.0,41.412876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94415313,0.0,0.0,1140.5021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1003.7991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434.32892,0.0
3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1864.8486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10013.134,0.0,12243.456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474.94168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8191.3027,0.0,0.0,0.0,0.0,16533.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8323.79,0.0,0.0,0.0,8217.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2936.723,0.0,0.0,2119.6814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3211.1792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,973.29535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7680.1226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12146.871,0.0,0.0,0.0,0.0,0.0,4454.7866,0.0,0.0,19709.723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2171.3967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3532.1936,0.0,360.26596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23260.17,1884.3497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2345.7302,0.0,9692.908,0.0,0.0,0.0,0.0,0.0,5503.3794,0.0,0.0,0.0,202.79291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11329.222,0.0,0.0,2621.4226,0.0,0.0,0.0,0.0,0.0,8693.812,0.0,0.0,0.0,8717.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2931.0715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1942.309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630.31305,0.0,0.0,0.0,0.0,13309.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.275055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2562.1807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2799.4822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
