true_labels,pred,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223
0,0,0.0,0.0,0.0,0.0,0.0,7645.4424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16214.8955,1822.3763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24701.178,0.0,6073.6943,0.0,0.0,11979.827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8515.653,0.0,0.0,9983.122,0.0,0.0,0.0,0.0,0.0,11711.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8234.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.03838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13344.378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33760.156,0.0,0.0,0.0,10379.867,0.0,0.0,6646.1064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23058.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.70645,2547.5503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3705.4521,0.0,0.0,0.0,0.0,6532.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1157.8287,0.0,0.0,0.0,0.0,9162.243,0.0,0.0,0.0,0.0,0.0,137.59673,0.0,2314.531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,0.0,0.0,0.0,286.89438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.626707,0.0,0.0,0.0,51.758007,0.0,0.0,0.0,0.0,120.66476,89.981514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.54211,118.177826,0.0,0.0,0.0,0.0,0.0,0.0,176.30284,0.0,282.80295,0.0,0.0,151.31705,147.79198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.757725,0.0,0.0,0.0,0.0,0.0,151.20436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.73547,0.0,0.0,0.0,0.0,0.0,12.782087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.6766,0.0,0.0,0.0,0.0,34.96354,0.0,37.312653,0.0,0.0,0.0,0.0,132.33147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.00751,46.379807,0.0,0.0,0.0,0.0,203.81816,0.0,0.0,212.69868,0.0,245.21129,0.0,5.508493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.84581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.95413,449.35272,64.63582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.4747,0.0,97.50262,0.0,0.0,0.0,0.0,0.0,63.105835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.752537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.0,0.0,0.0,155.03044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1025.1404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1369.3245,2221.7039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2311.9421,0.0,1121.1058,0.0,0.0,1076.3103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2346.071,0.0,0.0,9099.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.929219,0.0,0.0,0.0,0.0,0.0,0.0,427.18817,124.266815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1814.7217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9046.935,0.0,0.0,0.0,0.0,0.0,0.0,7164.3374,0.0,2530.2742,0.0,0.0,1472.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8884.32,0.0,8100.7627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.47574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.4285,0.0,0.0,7087.075,0.0,0.0,0.0,0.0,0.0,0.0,2246.1904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2856.0503,0.0,9265.617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,0.0,0.0,100.28965,0.0,0.0,0.0,0.0,0.0,524.9256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1468.5927,0.0,0.0,0.0,43.660717,0.0,0.0,0.0,0.0,309.1712,0.0,0.0,1245.1718,0.0,1875.7037,0.0,0.0,0.0,1364.8558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730.695,0.0,614.26184,0.0,165.69478,0.0,0.0,0.0,0.0,0.0,0.0,559.1082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.3688,0.0,0.0,508.4596,0.0,0.0,0.0,0.0,0.0,333.41492,0.0,2739.3872,0.0,0.0,0.0,0.0,0.0,1468.628,0.0,0.0,1074.7032,0.0,0.0,973.35297,0.0,0.0,2222.579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524.2213,305.91437,0.0,0.0,0.0,0.0,0.0,0.0,296.40646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1221.2137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468.7693,0.0,349.73865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2267.4858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474.18344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615.38635,0.0,0.0,0.0,229.36331,0.0,0.0,0.0,0.0,0.0,0.0,354.93677,0.0,264.3051,384.134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,668.1607,0.0,0.0,848.8185,0.0,0.0,0.0,369.4792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411.78525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.66063,876.6032,0.0,836.34143,44.512283,0.0,0.0,0.0,0.0,0.0,784.1612,0.0,388.4105,468.2612,203.94838,0.0,0.0,70.67138,324.1115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.72282,268.0801,524.7719,214.04631,0.0,0.0,0.0,0.0,0.0,0.0,65.15536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.77625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,549.4923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429.5897,0.0,0.0,0.0,0.0,0.0,126.23014,0.0,706.9243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.76758,0.0,245.0437,454.2652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.9003,91.10563,0.0
3,0,0.0,0.0,0.0,0.0,188.74069,0.0,0.0,0.0,0.0,344.48358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.44644,0.0,464.26767,0.0,0.0,0.0,0.0,0.0,0.0,537.8624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388.74866,0.0,284.35934,691.4313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472.28638,0.0,0.0,0.0,353.35522,661.61206,7.921732,0.0,0.0,0.0,0.0,112.67417,0.0,0.0,251.48541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579.7807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.28613,484.59143,0.0,55.537224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.9708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.32547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.06772,0.0,0.0,141.0743,0.0,0.0,153.5981,0.0,0.0,0.0,0.0,146.24979,0.0,0.0,114.27787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1368.4877,387.94693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.84624,0.0,0.0,0.0,0.0,155.07579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.05387,0.0,82.03965,0.0,695.2223,0.0,0.0,0.0,0.0,0.0,380.05518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,719.0428,62.258717,458.0819,1272.4038,0.0,128.77243,0.0,0.0,0.0,739.0497,0.0,0.0
1,3,0.0,0.0,505.55167,0.0,0.0,0.0,0.0,0.0,0.0,556.97876,0.0,0.0,0.0,0.0,0.0,136.90166,52.95637,0.0,861.18427,0.0,264.06604,2.2321086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,935.3303,0.0,426.39474,0.0,0.0,251.42766,0.0,0.0,0.0,0.0,0.0,0.0,1477.5193,0.0,1748.9188,435.52774,0.0,552.5519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.57352,0.0,0.0,0.0,0.0,0.0,0.0,296.8644,163.39569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.026344,0.0,285.70505,0.0,0.0,0.0,0.0,530.485,367.92798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.96951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398.5801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.83208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.30927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.98688,0.0,0.0,0.0,0.0,0.0,558.3155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.92764,792.59564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4467096,189.1844,0.0,0.0,0.0,0.0,0.0,0.0,719.9907,0.0,0.0,0.0,0.0,0.0,133.4288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.8741,0.0,0.0,0.0,869.61957,820.6591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.9542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488.03775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.80786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1534.8582,0.0,2395.6711,0.0,1126.7877,537.1793,0.0,0.0,0.0,0.0,1191.4678,0.0,1207.8461,0.0,0.0,0.0,0.0,1972.9329,3328.3171,0.0,1752.3551,654.8405,699.1723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2325.2449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,856.6729,601.82697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2172.441,0.0,0.0,0.0,1976.6747,0.0,0.0,0.0,0.0,0.0,1591.1526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2280.9336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,827.7746,1970.7753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,607.48334,0.0,0.0,663.36053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2763.1323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,875.58026,2053.8545,0.0,0.0,0.0,1880.1875,0.0,0.0,0.0,0.0,0.0,0.0,3008.849,0.0,0.0,0.0,4251.8506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,644.05536,1371.8971,0.0,0.0,0.0,0.0,0.0,912.04974,0.0,0.0,0.0,0.0,0.0,104.3991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1629.0793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2533.413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,552.916,0.0,0.0,0.0,0.0,0.0,8603.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.88498,0.0,4339.1763,0.0,0.0,159.73462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1047.4565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11973.316,0.0,0.0,0.0,11714.039,0.0,0.0,0.0,6841.124,0.0,0.0,0.0,804.94135,1433.639,0.0,0.0,0.0,0.0,0.0,4402.4854,0.0,0.0,0.0,0.0,0.0,5093.2983,0.0,0.0,0.0,0.0,0.0,1356.6074,0.0,0.0,1717.5881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1954.3148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1979.4434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666.8856,0.0,0.0,0.0,0.0,0.0,15.811601,0.0,0.0,0.0,0.0,0.0,1331.6543,12165.523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5981.8345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4739.3154,0.0,0.0,3375.1326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1513.9122,0.0,2495.4353,4794.847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3193.5789,0.0,366.9863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2678.0522,0.0,0.0,0.0,266.69156,0.0,3165.9985,5625.3745,0.0
3,3,0.0,0.0,2610.8018,3802.1707,1016.70337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1757.0121,0.0,2956.3286,12969.798,0.0,0.0,0.0,1606.9135,0.0,0.0,0.0,0.0,2571.5742,0.0,0.0,9776.588,1360.4613,0.0,4536.7583,0.0,0.0,0.0,4.1511545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2924.753,0.0,0.0,0.0,9149.343,0.0,0.0,0.0,547.46027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14742.656,0.0,0.0,9.453825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11044.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13509.703,0.0,0.0,0.0,0.0,0.0,0.0,2315.0469,0.0,0.0,0.0,0.0,0.0,2587.4958,0.0,0.0,0.0,0.0,2012.6979,0.0,0.0,0.0,0.0,0.0,2059.7769,0.0,0.0,0.0,0.0,0.0,13259.552,0.0,0.0,0.0,0.0,0.0,0.0,7821.315,0.0,407.8907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10396.606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13313.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12217.852,0.0,0.0,0.0,0.0,0.0,8198.445,0.0,0.0,0.0,0.0,0.0,0.0,13835.519,0.0,10079.587,0.0,0.0,0.0,0.0,3111.0437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3135.498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5265.2617,0.0,0.0,9313.241,0.0,0.0,0.0,0.0,0.0,1955.555,0.0,0.0
