vol_cytoplasm.p	vol_mito.p	vol_nucleus.p	area_cytoplasm.p	area_mito.p	area_nucleus.p	pixels_cytoplasm.p	pixels_mito.p	pixels_nucleus.p	count_cytoplasm.p	count_mito.p	count_nucleus.p	x	y	z	area_cell	vol_cell	heightRange_cell	convexity_cell	packing_cell	sphericity_cell	sma_cell	smv_cell	csf_cell	maxAreaSlice_cell	rugosity_cell	pixels_cell	count_cell	heightRange_cytoplasm.p	convexity_cytoplasm.p	packing_cytoplasm.p	sphericity_cytoplasm.p	sma_cytoplasm.p	csf_cytoplasm.p	smv_cytoplasm.p	MinDist_cytoplasm.p_mito.p	MaxDist_cytoplasm.p_mito.p	MedianDist_cytoplasm.p_mito.p	MinDist_cytoplasm.p_nucleus.p	MaxDist_cytoplasm.p_nucleus.p	MedianDist_cytoplasm.p_nucleus.p	heightRange_mito.p	convexity_mito.p	packing_mito.p	sphericity_mito.p	sma_mito.p	csf_mito.p	smv_mito.p	MinDist_mito.p_nucleus.p	MaxDist_mito.p_nucleus.p	MedianDist_mito.p_nucleus.p	heightRange_nucleus.p	convexity_nucleus.p	packing_nucleus.p	sphericity_nucleus.p	sma_nucleus.p	smv_nucleus.p	csf_nucleus.p	maxAreaSlice_nucleus.p	rugosity_nucleus.p	meanIntensity_cytoplasm.p	medianIntensity_cytoplasm.p	maxIntensity_cytoplasm.p	minIntensity_cytoplasm.p	meanIntensity_mito.p	medianIntensity_mito.p	maxIntensity_mito.p	minIntensity_mito.p	pixel_per_mito_avg	pixel_per_volume_mito	nuc_to_mito	pixels_per_volume_cytoplasm.p	pixels_per_volume_mito.p	pixels_per_volume_nucleus.p	nuc_vol_to_area	segmentationError	FoF	frame	ID	png
FoF1_231005_fluorescent.nucleus_cell97	1.49125000690571	1.17523590917011	0.88993117412848	1.37944822318263	1.05665444845702	0.951334212663428	5.46065881549753	2.6739071702599	0.925377666438928	0.913705583756345	0.913705583756345	1	133.632	188.152	0.53125	1.11337901541438	1.11605863072919	1.09803921568627	10.3609444844759	0.999999823711043	4.61183103779889	1.00732699562621	2199.93172621494	1	1.00893591728692	1.2763523163479	1.6051988714561	1	1.73469387755102	44.8934439358368	9.00000275746914	20.1323551749348	1.43517667679556	9.00000000000003	2253.01552286827	0.589218948285799	0.980283307084397	1.24296171868635	0.596284793999955	0.866218344824906	0.678664150965753	0.94017094017094	1.41124686038646	0.909091632425025	1.17145611304473	1.06147012334796	0.909090909090907	1738.38428747307	1.13192314226717	1.00326380523905	1.0172113958932	1	2.18149134103487	0.999999858966047	1.60180305309269	0.881360565200271	357.047896945598	1	0.920734031984733	1.07874876243911	1.03481649554626	1.07683500466038	1.48978431062428	0.825638419343157	0.592073210199232	0.539453668416115	0.779501209293244	0.458599122074789	3.7974498056078	2.28157448317334	0.710893291191071	3.35984399383036	2.28157448317334	1.00083624351401	0.92886019143324	FALSE	FoF1_231005_fluorescent.nucleus	0	97	~/Projects/PMO/MeasuringFitnessPerClone/data/GastricCancerCLs/3Dbrightfield/NCI-N87/A06_multiSignals_Linked/FoF1_231005_fluorescent.nucleus/cell_97.png
FoF1_231005_fluorescent.nucleus_cell96	1.63176183960709	1.23291971528178	1.5513565608481	1.35863096361012	0.967420971111499	1.35680279062796	5.56733230926779	2.9064678229859	1.26574559072851	1.0721940214326	1.0721940214326	1	121.336	178.872	0.5625	1.14511607121289	1.25316471145019	0.843137254901961	0.0905365941978303	1.00000008269283	0.20550896204611	1.00832191155201	727.335339778135	1	1.09394586772179	0.945766109131192	1.88437586017066	1	0.897959183673469	4.54589695763796	1.99999605947461	3.33812073630874	1.424685909629	2.00000000000001	929.117516654928	0.258055261067131	0.0589341887002637	0.0937529870940262	0.596284793999994	0.87139134488651	0.763064189394209	0.358974358974359	0.0104627569776057	0.0909090069389488	0.0310047410251903	1.00371253277526	0.0909090909090907	1021.29829812213	0.833854004007892	0.838594190517221	0.775845058886147	0.951219512195122	7.20848739274764	0.999999971796513	3.60902058799437	1.42791891405158	-2007.05110509174	1	1.2126872920144	1.02398520628751	1.01152236543042	1.12227178684695	1.3855153595558	0.825609991774871	0.439317728124365	0.452212681789132	0.470752608443918	0.458576225835151	3.51758121432248	2.36398164442644	1.1812719122461	3.13050859802991	2.36398164442644	0.785299330414445	1.13532955676091	FALSE	FoF1_231005_fluorescent.nucleus	0	96	~/Projects/PMO/MeasuringFitnessPerClone/data/GastricCancerCLs/3Dbrightfield/NCI-N87/A06_multiSignals_Linked/FoF1_231005_fluorescent.nucleus/cell_96.png
FoF1_231005_fluorescent.nucleus_cell95	0.882682140364512	0.688343574184128	0.747264001246068	0.913880612516394	0.648084595970514	0.823299304728626	3.23109745690391	1.63462473658616	0.814975075280245	0.982515510434292	0.982515510434292	1	99.064	105.56	0.5625	0.739356852738583	0.664329718522053	0.901960784313726	0.437011175762345	1.00000001714877	0.595463955177695	0.594035451701139	283.306968493867	1	0.783157740344427	1.16313201050802	1.13996696944674	1	1.3265306122449	18.1727715355405	5.00000171664533	10.8882872353933	0.843270703626544	5.00000000000001	-58.2328023333314	0.175149798754769	0.44349382186267	0.384573264513074	0.477260702109221	0.717726327306762	0.561286906403982	0.418803418803419	0.349769628288095	0.181818141234915	0.280017266881067	0.610740849233664	0.181818181818182	37.7710686992014	0.565961571133585	0.7560685868642	0.6747754461461	1	1.79960056022827	1.00000001216645	1.44903184079845	0.771390563914609	-89.4806655216018	1	0.821220974465466	1.2562030318768	1.11420983111587	1.21319482166624	1.67520909227933	0.825602657881333	0.495292886072304	0.508745618270496	0.702020072583819	0.458602860236362	2.15889065727922	2.38136618418245	1.01915877170085	3.35869251727832	2.38136618418245	1.04971329174441	0.901246016366709	FALSE	FoF1_231005_fluorescent.nucleus	0	95	~/Projects/PMO/MeasuringFitnessPerClone/data/GastricCancerCLs/3Dbrightfield/NCI-N87/A06_multiSignals_Linked/FoF1_231005_fluorescent.nucleus/cell_95.png
FoF1_231005_fluorescent.nucleus_cell91	1.37210351565018	1.0734130041285	1.35994470566475	1.16365677313934	0.873691746792837	1.17543894696054	4.71138419525516	2.5883179337548	1.49854500366912	2.71630005640158	2.71630005640158	1	65.424	153.12	0.5625	0.981671099172637	1.06177815084571	0.823529411764706	0.316257066948738	0.999999975843321	0.494168955355181	0.714645340017487	-13.6582562389343	1	0.976602869478675	0.843359041997335	1.90572529589871	1	0.877551020408163	0.0122954818763592	2.00000596903081	0.063618045529558	0.983149577933528	2.00000000000001	-220.638099728537	0.465014650414599	0.656382271799875	0.991754849640122	0.562731433871169	0.799807862200926	0.714191574413192	0.572649572649573	0.441590966139531	0.545454107207234	0.490504086739074	0.717676618800292	0.545454545454546	-70.0208190000022	0	0.833752781536737	0.831987450586159	0.975609756097561	0.019506192185899	0.999999998730835	0.0740965497444245	1.05034177761023	175.519230176537	1	1.07115987906139	0.90814133952168	1.17041665527873	1.21630004685451	1.07107381811659	0.825629548824307	0.469136959156151	0.460659569008124	0.778430728577275	0.458592025408677	1.23649360338282	2.41804371003403	1.18939866452522	3.15054851967137	2.41804371003403	1.06059352175287	1.14881003317136	FALSE	FoF1_231005_fluorescent.nucleus	0	91	~/Projects/PMO/MeasuringFitnessPerClone/data/GastricCancerCLs/3Dbrightfield/NCI-N87/A06_multiSignals_Linked/FoF1_231005_fluorescent.nucleus/cell_91.png
FoF1_231005_fluorescent.nucleus_cell90	0.990455390043627	0.773574716930596	0.839095431402897	0.985412549765525	0.714177649029248	0.88301485783674	3.08994708994709	1.53509482898363	0.901566335180546	0.966723068245911	0.966723068245911	1	98.368	97.672	0.53125	0.808674749420373	0.747757411221961	0.843137254901961	0.521382751075495	1.0000000019439	0.662668731114902	0.611369959014945	-111.934479668267	1	0.856095439630198	1.17916341818922	1.16876548307184	1	1.04081632653061	46.7789223396432	2.99998978289677	10.9360682007247	0.862583319756512	3.00000000000001	-833.691918567998	0.366989777244827	0.675717609338748	0.901221743607095	0.843274042711584	0.765696589112576	0.597888498009112	0.418803418803419	0.254748178177814	0.272727542392349	0.31760872221838	0.626135177729484	0.272727272727273	-815.849199324799	0.707106781186542	0.779502547807466	0.678979695208694	1	0.553593038211973	0.999999981607722	0.665123373527078	0.798423004579013	-50.170176149867	1	0.862614364226296	1.1576093632644	0.899215833222373	0.9288899468851	1.43930752411142	0.825756599799025	0.448531155655759	0.422845645134311	0.726011125767563	0.458574473571913	2.06055932162625	1.9899690402415	1.01831499204419	2.86246807601861	1.9899690402415	1.0341576782765	0.943561888713154	FALSE	FoF1_231005_fluorescent.nucleus	0	90	~/Projects/PMO/MeasuringFitnessPerClone/data/GastricCancerCLs/3Dbrightfield/NCI-N87/A06_multiSignals_Linked/FoF1_231005_fluorescent.nucleus/cell_90.png
FoF1_231005_fluorescent.nucleus_cell9	1.20728727195048	1.40986779294425	1.16289438587269	1.17101796120001	1.49705809137473	1.16958532350552	0.619901006997781	3.50883449505592	1.0668792226524	0.91483361534123	0.91483361534123	1	159.152	186.296	1.53125	1.17292723529915	1.16393307016675	1.09803921568627	0.929385463834678	1.00000007430137	0.902132351538689	1.58550076197047	1219.92769921333	1	1.17857671597045	1.16213067865012	1.34639072391963	1	1.14285714285714	0.385574683964787	0.999999253244067	0.575866198905125	1.91805728868625	1	-156.473190191993	0.519001920231918	1.0557264624444	0.840019805302112	0.421637021355845	0.987446503213839	0.782357671372476	1.67521367521368	20.6523650655854	1.63635954253284	6.53674975333157	2.17329796218381	1.63636363636363	1540.06722167146	0.353553390593227	0.888035500426359	0.647243854848832	1.02439024390244	5.253016198468	0.999999961614849	2.79771203775694	1.34830409430257	569.236346327465	1	1.17859454522988	1.1124118989742	0.513590741544975	0.560776560064455	0.196943854322014	0.825592390430381	0.739918384233013	0.597177730548281	1.02440813790841	0.458601896491582	4.97705872188571	2.49573156778665	0.774345773950836	0.4711251063509	2.49573156778665	0.883029909850348	0.987268793540334	FALSE	FoF1_231005_fluorescent.nucleus	0	9	~/Projects/PMO/MeasuringFitnessPerClone/data/GastricCancerCLs/3Dbrightfield/NCI-N87/A06_multiSignals_Linked/FoF1_231005_fluorescent.nucleus/cell_9.png
FoF1_231005_fluorescent.nucleus_cell89	3.77898049643758	2.73789133994105	2.92747291259017	2.86676378636977	1.63446179159033	1.94840335661904	12.8943505717699	7.82828119090074	3.15195222551178	1.22278623801466	1.22278623801466	1	102.544	79.576	0.8125	1.85005679848425	2.73178570411525	0.92156862745098	1.07496536041634	1.00000000798355	1.11301522397083	1.80009898099687	956.724485863459	1	1.52573807576599	0.778541308860863	4.68877305257363	1	3.77551020408163	52.0879475261504	14.9999946235991	31.9258069376703	2.76428115196118	15.0000000000001	432.533451863995	0.649616827589095	0.790586394384167	0.637260006257343	0	1.14164573297877	0.716845170285403	0.829059829059829	1.13395520948366	0.818180745084572	1.22237497625982	1.75242822665177	0.81818181818182	-1721.98178095414	1.66770800801578	1.26222595328683	1.02112054001113	1.14634146341463	0.503929420196674	0.999999986618555	0.651276035922472	2.46851236160239	1074.08560258026	1	1.4370962490357	0.836347895262749	1.5875228046252	1.28111336131206	3.05585674321742	0.825593438129458	0.498103024181057	0.487242921712188	0.695690926084554	0.458593952898238	8.30745256213291	2.86723696517998	1.0038058572351	3.13075693895965	2.86723696517998	1.03630399309458	1.4919046306693	FALSE	FoF1_231005_fluorescent.nucleus	0	89	~/Projects/PMO/MeasuringFitnessPerClone/data/GastricCancerCLs/3Dbrightfield/NCI-N87/A06_multiSignals_Linked/FoF1_231005_fluorescent.nucleus/cell_89.png
FoF1_231005_fluorescent.nucleus_cell87	1.41592437972926	1.13009456526904	0.769381735346514	1.29023323239961	1.12180418872943	0.798588800931609	4.39836149513569	3.14345923164208	0.859940787975404	0.86350817822899	0.86350817822899	1	69.368	103.24	1.71875	1.04713211136211	1.04656855100626	1.27450980392157	1.85420062396895	1.00000002270307	1.49190173559896	1.6584767060528	1235.87716867573	1	0.850495356083027	1.18791737026293	1.52838563170933	1	1.6734693877551	4.42611086721429	5.00000467716776	4.52335814061085	2.43044481698441	5.00000000000001	-581.61093470346	0.82061408896694	1.03090833043547	0.856785635904604	0.856348838577696	0.834413708948339	0.873093078424803	2.2991452991453	5.60387384483141	3.45454411865	4.7269152266788	1.82525652694453	3.45454545454545	623.674727551996	0.707106781186542	0.726619815166728	0.684988482205852	0.804878048780488	0.50775587803134	1.00000005173073	0.65525480163519	0.73697551932893	219.660354474133	1	0.878002286650369	0.93258870815065	1.08178378305668	1.06830642993078	1.47742160987588	0.825604962819304	0.737431954618796	0.742881496442156	0.829891958779403	0.458641935706562	4.72382034570094	2.78937191551687	0.639146086515805	2.85020035353538	2.78937191551687	1.07578901909103	0.956633758119717	FALSE	FoF1_231005_fluorescent.nucleus	0	87	~/Projects/PMO/MeasuringFitnessPerClone/data/GastricCancerCLs/3Dbrightfield/NCI-N87/A06_multiSignals_Linked/FoF1_231005_fluorescent.nucleus/cell_87.png
FoF1_231005_fluorescent.nucleus_cell85	1.41825206388608	1.10378851479103	1.22268235935477	1.28199201792247	0.891733446117482	1.14200797931441	6.85458269329237	2.48414113578646	1.12191604038564	0.929498025944726	0.929498025944726	1	142.216	197.432	0.46875	1.01357074724863	1.07291413817465	0.803921568627451	5.09231529724746	1.0000000523817	3.0732048992207	0.707848085486463	566.218236844276	1	1.02697778530484	0.839665547810366	1.84910886319846	1	1.73469387755102	191.123681633529	12.000040969273	42.2344296292859	1.00525612982748	12	-72.8416442362665	0.513931298373296	0.824439861988408	0.749562890669469	0	0.75657289545027	0.610976581007863	0.401709401709402	0.00229112946461358	0.272724528053513	0.0119788467675856	0.724269607367378	0.272727272727273	-277.213035397867	0.883883476483182	0.809924942645789	0.796120649517753	0.829268292682927	11.2935908538531	0.999999912793316	4.93511100729393	0.90996240657228	80.5670388389336	1	1.09759382074373	0.886566495173168	1.10078446720673	1.16687798627987	1.54257453119347	0.825605032665908	0.474353883467458	0.479487884043736	0.867562907526513	0.458578737412457	3.46800559911326	2.25685560627711	1.03992213833996	4.43457622754015	2.25685560627711	0.883175761898645	1.06309372248218	FALSE	FoF1_231005_fluorescent.nucleus	0	85	~/Projects/PMO/MeasuringFitnessPerClone/data/GastricCancerCLs/3Dbrightfield/NCI-N87/A06_multiSignals_Linked/FoF1_231005_fluorescent.nucleus/cell_85.png
FoF1_231005_fluorescent.nucleus_cell84	0.960563800460014	0.739296786912064	0.910686019684004	0.942194878828278	0.675143012447209	0.91477017934859	3.90681003584229	1.80720808342789	1.01272805485969	1.13592780597857	1.13592780597857	1	71.224	145.232	0.375	0.784769170105047	0.739414913164521	0.627450980392157	1.15193913650571	0.999999896388669	1.14972870883185	0.411391979138872	-24.6537409690677	1	0.95185819169343	0.699939279040419	1.36999380677126	1	0.775510204081633	9.83515972818717	2.99999612846691	5.17515634873045	0.572321208721233	3.00000000000001	-13.3530880634665	0.273538029655647	0.0624701150821744	0.0993779675639316	0.666666666666662	0.72652171217617	0.531470055626515	0.264957264957265	0.00134711262412256	0.0909089937032085	0.00805518930739003	0.410489337174105	0.0909090909090907	-108.169858665599	0.565961571133588	0.773295230123912	0.672748074174381	0.731707317073171	0.422528569561451	0.999999914865798	0.56629157424833	0.557493728090205	142.525986088531	1	1.03182060602607	0.761560963683024	1.30134786667735	1.36877364662773	1.31506557944148	0.825770429426839	0.440452639409044	0.459361793811386	0.418596627810064	0.458581891486286	2.06447403479909	2.45133530334453	1.15643945174985	3.7318193086719	2.45133530334453	1.07034701484108	0.988516030944795	FALSE	FoF1_231005_fluorescent.nucleus	0	84	~/Projects/PMO/MeasuringFitnessPerClone/data/GastricCancerCLs/3Dbrightfield/NCI-N87/A06_multiSignals_Linked/FoF1_231005_fluorescent.nucleus/cell_84.png
